europeana term,Object Type,AAT Concept,AAT Hierarchy depth level ,dbpedia,wikidata, data.europeana.eu
Experimental film,VIDEO,experimental films,8,http://dbpedia.org/page/Experimental_film,http://www.wikidata.org/entity/Q790192,NA
Feature film,VIDEO,feature films,8,http://dbpedia.org/page/Feature_film,http://www.wikidata.org/entity/Q24869,NA
Home Movie,VIDEO,home movies,,http://dbpedia.org/page/Home_movies,http://www.wikidata.org/entity/Q2660900,NA
Music video,VIDEO,video recordings,8,http://dbpedia.org/page/Music_video,http://www.wikidata.org/entity/Q193977,NA
Newsreel,VIDEO,newsreels,8,http://dbpedia.org/page/Newsreel,http://www.wikidata.org/entity/Q735478,http://data.europeana.eu/concept/base/61
Short film,VIDEO,short subjects,8,http://dbpedia.org/page/Short_film,http://www.wikidata.org/entity/Q24862,NA
Serial,VIDEO,serials(motion pictures),8,NA,http://www.wikidata.org/entity/Q5398426,NA
Video Art,VIDEO,video art,8,http://dbpedia.org/page/Video_installation,http://www.wikidata.org/entity/Q550484,NA
Factual Television ,VIDEO,NA,NA,NA,http://www.wikidata.org/entity/Q5428822,NA
Sports Program,VIDEO,NA,NA,NA,http://www.wikidata.org/entity/Q16894224,NA
News Program,VIDEO,NA,NA,NA,http://www.wikidata.org/entity/Q1358344,NA
SOUND,,,,,,
"Field Recording
",SOUND,sound recordings,8,http://dbpedia.org/page/Field_recording,http://www.wikidata.org/entity/Q5057302,NA
Sound Effect,SOUND,NA,NA,http://dbpedia.org/page/Sound_effect,http://www.wikidata.org/entity/Q768807,http://data.europeana.eu/concept/base/63
Concert,SOUND,concerts ,9,dbpedia.org/page/Concert,http://www.wikidata.org/entity/Q182832,NA
Phonograph,SOUND,phonograph records ,9,http://dbpedia.org/page/Phonography,http://www.wikidata.org/entity/Q7187283,NA
Radio program,SOUND,radio programs ,6,http://dbpedia.org/page/Radio_program,http://www.wikidata.org/entity/Q1555508,NA
Spoken word recording?,SOUND,interviews ,9,http://dbpedia.org/page/Interview,http://www.wikidata.org/entity/Q178651,NA
Song,SOUND,songs,10,http://dbpedia.org/page/Song,http://www.wikidata.org/entity/Q7366,NA
Music Album ,SOUND,NA,NA,http://dbpedia.org/page/Album,http://www.wikidata.org/entity/Q482994,NA
